fecha;provincia;casos_confirmados;nuevos_positivos;altas;fallecimientos;codigo_ine;Posicion
20/11/2021;LeÇün;52667;111;5722;1220;24089;42.666667,-6.0
20/11/2021;Segovia;21593;14;2078;384;40004;41.166667,-4.0
20/11/2021;Palencia;25303;25;2574;504;34120;42.432128,-4.520647
20/11/2021;Valladolid;68683;104;8288;1291;47186;41.583333,-4.666667
19/11/2021;Segovia;21579;13;2078;384;40004;41.166667,-4.0
19/11/2021;Soria;12630;6;1425;296;42173;41.666667,-2.666667
19/11/2021;Burgos;53400;57;5007;808;9059;42.383333,-3.666667
19/11/2021;LeÇün;52556;73;5721;1220;24089;42.666667,-6.0
19/11/2021;Palencia;25278;16;2573;504;34120;42.432128,-4.520647
19/11/2021;Salamanca;40388;47;4391;886;37274;40.833333,-6.0
19/11/2021;Valladolid;68579;138;8285;1291;47186;41.583333,-4.666667
19/11/2021;Zamora;18411;18;2209;468;49275;41.75,-6.0
19/11/2021;Çvila;17640;74;1971;380;5019;40.616092,-4.929031
18/11/2021;Valladolid;68441;79;8280;1291;47186;41.583333,-4.666667
18/11/2021;Burgos;53343;39;5004;808;9059;42.383333,-3.666667
18/11/2021;LeÇün;52483;101;5721;1220;24089;42.666667,-6.0
18/11/2021;Salamanca;40341;40;4388;886;37274;40.833333,-6.0
18/11/2021;Segovia;21566;10;2078;384;40004;41.166667,-4.0
18/11/2021;Soria;12626;2;1425;296;42173;41.666667,-2.666667
18/11/2021;Zamora;18393;6;2208;468;49275;41.75,-6.0
18/11/2021;Çvila;17566;52;1968;380;5019;40.616092,-4.929031
18/11/2021;Palencia;25262;11;2573;504;34120;42.432128,-4.520647
17/11/2021;Burgos;53307;58;5001;807;9059;42.383333,-3.666667
17/11/2021;Palencia;25251;7;2572;504;34120;42.432128,-4.520647
17/11/2021;Zamora;18387;7;2208;468;49275;41.75,-6.0
17/11/2021;Çvila;17514;45;1965;379;5019;40.616092,-4.929031
17/11/2021;LeÇün;52382;88;5717;1219;24089;42.666667,-6.0
17/11/2021;Salamanca;40301;50;4384;886;37274;40.833333,-6.0
17/11/2021;Segovia;21556;9;2076;383;40004;41.166667,-4.0
17/11/2021;Valladolid;68362;77;8279;1291;47186;41.583333,-4.666667
17/11/2021;Soria;12625;4;1425;296;42173;41.666667,-2.666667
16/11/2021;Palencia;25245;22;2572;504;34120;42.432128,-4.520647
16/11/2021;Salamanca;40251;28;4383;886;37274;40.833333,-6.0
16/11/2021;Valladolid;68286;66;8270;1291;47186;41.583333,-4.666667
16/11/2021;LeÇün;52294;50;5716;1218;24089;42.666667,-6.0
16/11/2021;Zamora;18380;13;2207;468;49275;41.75,-6.0
16/11/2021;Burgos;53249;38;4999;807;9059;42.383333,-3.666667
16/11/2021;Soria;12621;2;1425;296;42173;41.666667,-2.666667
16/11/2021;Çvila;17469;40;1965;379;5019;40.616092,-4.929031
16/11/2021;Segovia;21547;15;2075;383;40004;41.166667,-4.0
15/11/2021;LeÇün;52244;11;5713;1218;24089;42.666667,-6.0
15/11/2021;Salamanca;40223;5;4379;885;37274;40.833333,-6.0
15/11/2021;Zamora;18367;1;2206;468;49275;41.75,-6.0
15/11/2021;Çvila;17429;19;1964;379;5019;40.616092,-4.929031
15/11/2021;Burgos;53212;12;4992;807;9059;42.383333,-3.666667
15/11/2021;Palencia;25223;4;2572;504;34120;42.432128,-4.520647
15/11/2021;Segovia;21532;8;2075;383;40004;41.166667,-4.0
15/11/2021;Soria;12619;3;1423;296;42173;41.666667,-2.666667
15/11/2021;Valladolid;68221;26;8269;1290;47186;41.583333,-4.666667
14/11/2021;Çvila;17409;11;1964;379;5019;40.616092,-4.929031
14/11/2021;Salamanca;40217;7;4379;885;37274;40.833333,-6.0
